log_id,qr_id,authorization_id,guest_id,guest_name,unit_id,unit_number,frontdesk_id,frontdesk_name,action_type,scanned_at,result_status,has_authorization_form,has_luggage,luggage_count,luggage_desc,companions_count,vehicle_plate_no,remarks
1,128,5052,2564,Miguel Torres,9072,24A,305,Jasmine Cruz,CHECK_IN,2025-03-10 22:25:00,VALID,TRUE,TRUE,1,1 box,4,,ID verified at desk
2,101,5327,2866,Carlo Santos,9080,07C,301,Maria Santos,CHECK_IN,2025-03-03 12:49:00,VALID,TRUE,TRUE,1,1 duffel bag,0,,Vehicle info recorded
3,120,6131,2601,Rina Ramos,9296,07F,301,Maria Santos,CHECK_IN,2025-03-06 12:27:00,VALID,FALSE,FALSE,0,,0,OUL-2553,ID verified at desk
4,118,5351,3094,Miguel Bautista,9237,13C,305,Jasmine Cruz,CHECK_IN,2025-03-08 17:06:00,VALID,TRUE,TRUE,1,1 hand carry,3,,No printed authorization form
5,154,6023,2811,Trisha Tan,9136,05B,305,Jasmine Cruz,CHECK_IN,2025-03-14 15:15:00,VALID,TRUE,TRUE,2,2 boxs,0,DEU-2691,Vehicle info recorded
6,197,5959,3084,Paolo Sy,9006,22F,301,Maria Santos,CHECK_OUT,2025-03-13 13:15:00,VALID,TRUE,TRUE,3,3 laptop bags,1,XIQ-2814,Late arrival
7,139,5766,2331,Gab Aquino,9001,20C,304,Daniel Ramos,CHECK_IN,2025-03-09 14:14:00,EXPIRED,FALSE,TRUE,1,1 large suitcase,0,CXP-1822,Authorization expired
8,221,6126,2339,Paolo Aquino,9217,07E,302,Carlos Mendoza,CHECK_OUT,2025-03-10 9:54:00,NOT_FOUND,TRUE,TRUE,4,4 small suitcases,1,SRH-9301,QR not recognized
9,115,5469,2139,Ana Lopez,9037,17B,303,Rica Lopez,CHECK_OUT,2025-03-06 5:00:00,VALID,TRUE,FALSE,0,,0,,Manual review required
10,204,5390,2194,Liza Flores,9182,14D,304,Daniel Ramos,CHECK_OUT,2025-03-02 13:35:00,VALID,FALSE,TRUE,4,4 duffel bags,1,,Late arrival
11,237,5919,2288,Nina Bautista,9143,15B,301,Maria Santos,CHECK_IN,2025-03-13 20:33:00,VALID,TRUE,TRUE,1,1 small suitcase,0,FNP-7360,With companions
12,197,5005,2800,Paolo Garcia,9147,14F,305,Jasmine Cruz,CHECK_OUT,2025-03-12 9:47:00,VALID,TRUE,FALSE,0,,0,XKB-0978,With companions
13,114,6041,2165,John Lim,9035,22B,304,Daniel Ramos,CHECK_IN,2025-03-14 7:07:00,VALID,TRUE,FALSE,0,,0,QKI-3534,Vehicle info recorded
14,133,5615,2937,Carlo Lim,9005,15E,305,Jasmine Cruz,CHECK_OUT,2025-03-03 0:00:00,VALID,TRUE,TRUE,3,3 small suitcases,0,FOR-4980,ID verified at desk
15,126,5276,2542,Liza Gomez,9284,05C,303,Rica Lopez,CHECK_OUT,2025-03-09 3:15:00,VALID,TRUE,TRUE,4,4 backpacks,0,CUN-4005,With companions
16,167,5331,2905,Gab Flores,9288,01A,301,Maria Santos,CHECK_OUT,2025-03-04 17:24:00,VALID,FALSE,FALSE,0,,2,,No printed authorization form
